date,value
10/7/2009,6.034701486
10/8/2009,6.05520234
10/9/2009,6.110350887
10/10/2009,6.087083941
10/11/2009,6.070419576
10/12/2009,6.060683707
10/13/2009,6.055227519
10/14/2009,6.052328886
10/15/2009,6.052903806
10/16/2009,6.077595523
10/17/2009,6.073429618
10/18/2009,6.050178569
10/19/2009,6.0514749
10/20/2009,6.04588345
10/21/2009,6.047779894
10/22/2009,6.043547298
10/23/2009,6.081379637
10/24/2009,6.068231459
10/25/2009,6.056646891
10/26/2009,6.055964425
10/27/2009,6.045948658
10/28/2009,6.046923167
10/29/2009,6.047167905
10/30/2009,6.082125497
10/31/2009,6.102824885
11/1/2009,6.062787034
11/2/2009,6.058199724
11/3/2009,6.044378524
11/4/2009,6.054784524
11/5/2009,6.051613017
11/6/2009,6.07195118
11/7/2009,6.068244064
11/8/2009,6.062608886
11/9/2009,6.057027127
11/10/2009,6.05620409
11/11/2009,6.076438673
11/12/2009,6.111500056
11/13/2009,6.096818056
11/14/2009,6.083841148
11/15/2009,6.064200877
11/16/2009,6.067697409
11/17/2009,6.066707636
11/18/2009,6.066978793
11/19/2009,6.054336056
11/20/2009,6.092865234
11/21/2009,6.085354861
11/22/2009,6.078563206
11/23/2009,6.074887315
11/24/2009,6.075986433
11/25/2009,6.123440746
11/26/2009,6.241892576
11/27/2009,6.119662596
11/28/2009,6.093955999
11/29/2009,6.084483126
11/30/2009,6.077998305
12/1/2009,6.073537355
12/2/2009,6.064507035
12/3/2009,6.082631689
12/4/2009,6.099644169
12/5/2009,6.096765525
12/6/2009,6.086977041
12/7/2009,6.078856991
12/8/2009,6.068725443
12/9/2009,6.070212816
12/10/2009,6.077593016
12/11/2009,6.110846565
12/12/2009,6.105372373
12/13/2009,6.09100193
12/14/2009,6.080313324
12/15/2009,6.074325506
12/16/2009,6.079198273
12/17/2009,6.07916474
12/18/2009,6.110611877
12/21/2009,6.089053223
12/22/2009,6.100051798
12/23/2009,6.120319526
12/24/2009,6.257589971
12/25/2009,6.342120929
12/26/2009,6.122145235
12/27/2009,6.070605186
12/28/2009,6.069576102
12/29/2009,6.058435104
12/30/2009,6.058351745
12/31/2009,6.173756153
1/1/2010,6.178530024
1/2/2010,6.077720377
1/3/2010,6.044085026
1/4/2010,6.052120014
1/5/2010,6.040137793
1/6/2010,6.048324778
1/7/2010,6.041727207
1/8/2010,6.065934294
1/9/2010,6.061797034
1/10/2010,6.05836464
1/11/2010,6.050774382
1/12/2010,6.042658406
1/13/2010,6.037685821
1/14/2010,6.045684758
1/15/2010,6.083789124
1/16/2010,6.07807679
1/17/2010,6.076149248
1/18/2010,6.068642191
1/19/2010,6.039537212
1/20/2010,6.051203252
1/21/2010,6.055881777
1/22/2010,6.083436406
1/23/2010,6.081585323
1/24/2010,6.056625363
1/25/2010,6.062012834
1/26/2010,6.054651037
1/27/2010,6.06121328
1/28/2010,6.052935588
1/29/2010,6.085016943
1/30/2010,6.071679677
1/31/2010,6.064441398
2/1/2010,6.06423921
2/2/2010,6.050444531
2/3/2010,6.062728377
2/4/2010,6.058408082
2/5/2010,6.080026471
2/6/2010,6.079446787
2/7/2010,6.09223015
2/8/2010,6.062580013
2/9/2010,6.045499758
2/10/2010,6.038750515
2/11/2010,6.054177248
2/12/2010,6.095864348
2/13/2010,6.104799253
2/14/2010,6.184986771
2/15/2010,6.075824227
2/16/2010,6.058496433
2/17/2010,6.048296227
